team_id,team_abbreviation,season,play_type,possessions,points,poss_pct,percentile,games_played,points_per_possession,fg_pct,efg_pct
1610612743,DEN,2022-23,Handoff,4.7,4.6,0.043,0.448,82,0.979,0.447,0.536
1610612755,PHI,2022-23,Handoff,5.3,4.6,0.049,0.893,82,0.868,0.382,0.452
1610612740,NOP,2022-23,Handoff,4.7,4.6,0.042,0.483,82,0.979,0.433,0.526
1610612739,CLE,2022-23,Handoff,5.2,4.6,0.048,0.793,82,0.885,0.403,0.474
1610612764,WAS,2022-23,Handoff,5.5,4.7,0.05,0.966,82,0.855,0.373,0.445
1610612752,NYK,2022-23,Handoff,4.9,4.8,0.044,0.517,82,0.98,0.43,0.512
1610612754,IND,2022-23,Handoff,4.8,4.8,0.042,0.276,82,1.0,0.443,0.525
1610612744,GSW,2022-23,Handoff,5.1,4.9,0.044,0.621,82,0.961,0.407,0.489
1610612738,BOS,2022-23,Handoff,5.7,4.9,0.051,0.893,82,0.86,0.372,0.438
1610612742,DAL,2022-23,Handoff,5.0,5.0,0.046,0.241,82,1.0,0.474,0.532
1610612757,POR,2022-23,Handoff,5.0,5.0,0.046,0.31,82,1.0,0.44,0.517
1610612766,CHA,2022-23,Handoff,5.4,5.1,0.048,0.69,82,0.944,0.422,0.479
1610612741,CHI,2022-23,Handoff,5.3,5.1,0.048,0.552,82,0.962,0.427,0.515
1610612737,ATL,2022-23,Handoff,5.4,5.2,0.048,0.586,82,0.963,0.427,0.512
1610612765,DET,2022-23,Handoff,5.1,5.3,0.045,0.0,82,1.039,0.449,0.522
1610612763,MEM,2022-23,Handoff,5.6,5.3,0.049,0.655,82,0.946,0.409,0.503
1610612745,HOU,2022-23,Handoff,5.2,5.4,0.047,0.034,82,1.038,0.439,0.542
1610612762,UTA,2022-23,Handoff,5.5,5.6,0.049,0.172,82,1.018,0.409,0.5
1610612758,SAC,2022-23,Handoff,5.8,5.8,0.052,0.414,82,1.0,0.459,0.541
1610612747,LAL,2022-23,Handoff,6.6,5.9,0.058,0.828,82,0.894,0.385,0.453
1610612756,PHX,2022-23,Handoff,5.8,5.9,0.052,0.103,82,1.017,0.438,0.509
1610612746,LAC,2022-23,Handoff,6.0,6.2,0.055,0.069,82,1.033,0.46,0.545
1610612759,SAS,2022-23,Handoff,6.1,6.2,0.054,0.207,82,1.016,0.436,0.519
1610612750,MIN,2022-23,Handoff,6.2,6.2,0.054,0.138,82,1.0,0.448,0.542
1610612749,MIL,2022-23,Handoff,6.9,6.9,0.061,0.345,82,1.0,0.432,0.519
1610612738,BOS,2022-23,Cut,5.6,7.3,0.05,0.517,82,1.304,0.673,0.673
1610612749,MIL,2022-23,Cut,6.6,8.0,0.059,1.0,82,1.212,0.607,0.607
1610612745,HOU,2022-23,Cut,6.4,8.2,0.058,0.621,82,1.281,0.658,0.658
1610612747,LAL,2022-23,Cut,7.0,8.6,0.061,0.931,82,1.229,0.64,0.64
1610612752,NYK,2022-23,Cut,6.6,8.6,0.059,0.448,82,1.303,0.691,0.691
1610612756,PHX,2022-23,Cut,6.3,8.7,0.057,0.103,82,1.381,0.703,0.703
1610612739,CLE,2022-23,Cut,7.4,9.0,0.069,0.966,82,1.216,0.623,0.623
1610612762,UTA,2022-23,Cut,7.5,9.6,0.065,0.552,82,1.28,0.666,0.666
1610612750,MIN,2022-23,Cut,7.8,9.6,0.068,0.862,82,1.231,0.64,0.64
1610612764,WAS,2022-23,Cut,7.8,9.6,0.071,0.897,82,1.231,0.627,0.627
1610612751,BKN,2022-23,Cut,7.8,10.0,0.07,0.586,82,1.282,0.66,0.66
1610612755,PHI,2022-23,Cut,7.6,10.0,0.07,0.483,82,1.316,0.664,0.664
1610612760,OKC,2022-23,Cut,7.5,10.0,0.065,0.345,82,1.333,0.705,0.705
1610612766,CHA,2022-23,Cut,7.9,10.1,0.07,0.69,82,1.278,0.646,0.646
1610612746,LAC,2022-23,Cut,7.9,10.1,0.072,0.655,82,1.278,0.645,0.645
1610612741,CHI,2022-23,Cut,7.4,10.1,0.067,0.172,82,1.365,0.709,0.709
1610612765,DET,2022-23,Cut,7.3,10.3,0.065,0.0,82,1.411,0.725,0.725
1610612753,ORL,2022-23,Cut,7.7,10.3,0.069,0.31,82,1.338,0.703,0.703
1610612740,NOP,2022-23,Cut,7.6,10.3,0.069,0.241,82,1.355,0.708,0.708
1610612744,GSW,2022-23,Cut,7.8,10.4,0.067,0.379,82,1.333,0.689,0.689
1610612742,DAL,2022-23,Cut,7.8,10.7,0.072,0.207,82,1.372,0.706,0.706
1610612763,MEM,2022-23,Cut,8.4,10.7,0.074,0.724,82,1.274,0.653,0.653
1610612759,SAS,2022-23,Cut,7.6,10.8,0.067,0.034,82,1.421,0.721,0.721
1610612737,ATL,2022-23,Cut,7.8,10.8,0.069,0.138,82,1.385,0.695,0.695
1610612758,SAC,2022-23,Cut,7.8,10.8,0.07,0.069,82,1.385,0.713,0.713
1610612743,DEN,2022-23,Cut,8.7,10.8,0.08,0.828,82,1.241,0.648,0.648
1610612754,IND,2022-23,Cut,9.1,11.5,0.08,0.759,82,1.264,0.647,0.647
1610612761,TOR,2022-23,Cut,8.8,11.9,0.082,0.276,82,1.352,0.712,0.712
1610612757,POR,2022-23,Cut,9.3,12.3,0.084,0.414,82,1.323,0.676,0.676
1610612748,MIA,2022-23,Cut,9.8,12.3,0.091,0.793,82,1.255,0.652,0.652
1610612739,CLE,2022-23,OffScreen,3.1,2.8,0.029,0.828,82,0.903,0.368,0.45
